,model_accuracy_mean,explanation_accuracy_mean,explanation_accuracy_inv_mean,elapsed_time_mean,elapsed_time_inv_mean,model_accuracy_sem,explanation_accuracy_sem,explanation_accuracy_inv_sem,elapsed_time_sem,elapsed_time_inv_sem
general,91.63440986301279,95.9874924327819,93.06970645982807,0.5123887538909913,0.49067442417144774,0.17472058814861977,2.5816516170749244,4.9159584546255655,0.03997045028483671,0.04267651522082159
relu,91.84277261200337,95.70816805167372,89.51790767439046,0.16215171813964843,0.17654476165771485,0.21688932542040934,1.1632152992561395,6.6228292650135865,0.015353811719159938,0.014599080523250547
psi,34.0088093987578,63.364752725611574,79.14755085702863,6.490534734725952,6.490534734725952,0.9751164626442204,7.762514563929349,6.068714484144788,0.11509190623151958,0.11509190623151958
tree,89.0786136939983,89.0786136939983,89.0786136939983,0.009846043586730958,0.00880429744720459,0.2833990636388878,0.2833990636388878,0.2833990636388878,0.00039015789665633845,0.0006404182075150211
